uid,cid,score
104280188776,1017321932620709888,1.0
104280188776,1023742438319878144,1.0
104280188776,1054633019174379520,1.0
104280188776,1086836602015825920,1.0
104280188776,1086838981507399680,1.0
1314,1042239536421535744,1.0
104280188776,1018692799677726720,1.0
104280188776,1017310732285526016,1.0
104280188776,1060796618108203008,1.0
104280188776,1054254917919289344,1.0
104280188776,1052392172218830848,1.0
104280188776,1054245158323343360,1.0
104280188776,1062648166480207872,1.0
104280188776,1111451580638969856,1.0
